original_title,popularity,revenue,release_date,runtime,vote_average,vote_count,budget,genres
Se7en,18.45743,327311859.0,1995.75,127.0,8.1,5915.0,33000000.0,"['Crime', 'Mystery', 'Thriller']"
Pocahontas,13.280069,346079773.0,1995.5,81.0,6.7,1509.0,55000000.0,"['Adventure', 'Animation', 'Drama', 'Family']"
The Usual Suspects,16.302466,23341568.0,1995.5833333333333,106.0,8.1,3334.0,6000000.0,"['Drama', 'Crime', 'Thriller']"
Mighty Aphrodite,15.899134,6700000.0,1995.75,95.0,6.7,145.0,15000000.0,"['Comedy', 'Romance']"
Friday,14.56965,28215918.0,1995.3333333333333,91.0,7.0,513.0,3500000.0,['Comedy']
From Dusk Till Dawn,15.339153,25836616.0,1996.0833333333333,108.0,6.9,1644.0,19000000.0,"['Horror', 'Action', 'Thriller', 'Crime']"
Things to Do in Denver When You're Dead,4.486179,529766.0,1996.0,116.0,6.7,87.0,8000000.0,"['Drama', 'Crime']"
Antonia,2.030174,0.0,1995.75,102.0,7.2,26.0,900000.0,"['Drama', 'Comedy']"
La Haine,12.108196,0.0,1995.4166666666667,98.0,7.9,695.0,3000000.0,['Drama']
Bottle Rocket,6.904831,560069.0,1996.1666666666667,91.0,6.8,285.0,7000000.0,"['Comedy', 'Crime', 'Drama']"
The Bridges of Madison County,5.951077,182016617.0,1995.4166666666667,135.0,7.3,397.0,24000000.0,"['Drama', 'Romance']"
Braveheart,20.755149,210000000.0,1995.4166666666667,177.0,7.7,3404.0,72000000.0,"['Action', 'Drama', 'History', 'War']"
Taxi Driver,14.092713,28262574.0,1976.1666666666667,114.0,8.1,2632.0,1300000.0,"['Crime', 'Drama']"
Le Bonheur est dans le pré,1.254885,0.0,1995.0833333333333,106.0,7.0,23.0,13365000.0,['Comedy']
The Birdcage,6.49968,185260553.0,1996.25,117.0,6.7,303.0,31000000.0,['Comedy']
Apollo 13,18.761467,355237933.0,1995.5,140.0,7.3,1637.0,52000000.0,['Drama']
Blue in the Face,11.528147,1275000.0,1995.75,83.0,6.8,28.0,2000000.0,['Comedy']
Clockers,4.558992,13071518.0,1995.75,128.0,6.8,69.0,25000000.0,"['Mystery', 'Crime', 'Drama']"
Crimson Tide,8.657365,157387195.0,1995.4166666666667,116.0,7.0,508.0,53000000.0,"['Action', 'Thriller', 'Drama']"
Desperado,6.950458,25405445.0,1995.6666666666667,104.0,6.8,898.0,7000000.0,"['Thriller', 'Action', 'Crime']"
Die Hard: With a Vengeance,15.138855,366101666.0,1995.4166666666667,128.0,6.9,2094.0,90000000.0,"['Action', 'Thriller']"
Kids,4.877872,7412216.0,1995.5833333333333,91.0,6.8,280.0,1500000.0,"['Drama', 'Crime']"
Living in Oblivion,10.058329,1148752.0,1995.0833333333333,89.0,7.2,64.0,500000.0,"['Drama', 'Comedy']"
Mallrats,8.25547,2122561.0,1995.8333333333333,94.0,6.8,400.0,6000000.0,"['Romance', 'Comedy']"
Smoke,5.552946,8349430.0,1995.5,112.0,7.2,115.0,7000000.0,"['Comedy', 'Drama']"
Strange Days,11.223055,7959291.0,1995.8333333333333,145.0,6.8,334.0,42000000.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
Утомлённые солнцем,2.486073,2616503.0,1994.4166666666667,135.0,6.7,35.0,2800000.0,['Drama']
Before Sunrise,11.304979,5535405.0,1995.0833333333333,105.0,7.7,984.0,2500000.0,"['Drama', 'Romance']"
Clerks,10.513367,3151130.0,1994.75,92.0,7.4,769.0,27000.0,['Comedy']
Ed Wood,11.720358,5887457.0,1994.75,127.0,7.3,639.0,18000000.0,"['Comedy', 'Drama', 'History']"
Hoop Dreams,9.47666,7830611.0,1994.75,171.0,7.7,91.0,700000.0,['Documentary']
Heavenly Creatures,9.438042,3049135.0,1994.75,99.0,6.9,299.0,5000000.0,"['Drama', 'Fantasy']"
Immortal Beloved,7.983666,0.0,1995.0,121.0,6.9,90.0,120.0,"['Drama', 'Music', 'Romance']"
Interview with the Vampire,11.970205,223664608.0,1994.9166666666667,123.0,7.2,1558.0,60000000.0,"['Horror', 'Romance']"
Star Wars,42.149697,775398007.0,1977.4166666666667,121.0,8.1,6778.0,11000000.0,"['Adventure', 'Action', 'Science Fiction']"
Little Women,9.774994,0.0,1995.0,115.0,7.0,222.0,18000000.0,"['Drama', 'Romance']"
A Little Princess,7.731725,0.0,1995.4166666666667,97.0,7.4,207.0,17000000.0,"['Drama', 'Family', 'Fantasy']"
L'Enfer,1.948315,0.0,1994.1666666666667,100.0,6.6,22.0,10000000.0,"['Crime', 'Drama']"
Como agua para chocolate,4.126083,21665468.0,1992.3333333333333,105.0,6.6,70.0,2000000.0,"['Drama', 'Romance']"
Legends of the Fall,12.199047,160638883.0,1995.0,133.0,7.2,636.0,30000000.0,"['Adventure', 'Drama', 'Romance', 'War']"
My Family,3.121288,0.0,1995.4166666666667,128.0,7.0,11.0,5500000.0,"['Comedy', 'Drama']"
Natural Born Killers,11.226856,50282766.0,1994.6666666666667,119.0,6.9,927.0,34000000.0,"['Crime', 'Thriller', 'Drama']"
Léon,20.477329,45284974.0,1994.75,110.0,8.2,4293.0,16000000.0,"['Thriller', 'Crime', 'Drama']"
The Perez Family,1.433544,2832826.0,1995.4166666666667,113.0,6.6,9.0,11000000.0,"['Comedy', 'Drama', 'Romance']"
Pulp Fiction,140.950236,213928762.0,1994.75,154.0,8.3,8670.0,8000000.0,"['Thriller', 'Crime']"
Stargate,13.328924,196567262.0,1994.8333333333333,121.0,6.8,942.0,55000000.0,"['Action', 'Adventure', 'Science Fiction']"
The Shawshank Redemption,51.645403,28341469.0,1994.75,142.0,8.5,8358.0,25000000.0,"['Drama', 'Crime']"
What's Eating Gilbert Grape,10.3919,10032765.0,1994.0,118.0,7.5,943.0,11000000.0,"['Romance', 'Drama']"
Muriel's Wedding,5.254847,15119639.0,1994.75,106.0,6.9,104.0,3000000.0,"['Drama', 'Comedy', 'Romance']"
Bitter Moon,11.298195,1862805.0,1992.75,139.0,7.0,115.0,5000000.0,"['Thriller', 'Drama', 'Romance']"
The Crow,15.799336,94000000.0,1994.4166666666667,102.0,7.3,980.0,15000000.0,"['Fantasy', 'Action', 'Thriller']"
Forrest Gump,48.307194,677945399.0,1994.5833333333333,142.0,8.2,8147.0,55000000.0,"['Comedy', 'Drama', 'Romance']"
Four Weddings and a Funeral,8.990345,254700832.0,1994.25,117.0,6.6,654.0,6000000.0,"['Comedy', 'Drama', 'Romance']"
The Lion King,21.605761,788241776.0,1994.5,89.0,8.0,5520.0,45000000.0,"['Family', 'Animation', 'Drama']"
The Mask,14.13488,351583407.0,1994.5833333333333,101.0,6.6,2550.0,23000000.0,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Speed,10.859292,350448145.0,1994.5,116.0,6.8,1814.0,30000000.0,"['Action', 'Adventure', 'Crime']"
True Lies,11.396099,378882411.0,1994.5833333333333,141.0,6.8,1138.0,115000000.0,"['Action', 'Thriller']"
In the Mouth of Madness,8.497643,8946600.0,1995.0,95.0,7.1,307.0,8000000.0,"['Horror', 'Mystery', 'Thriller']"
The Age of Innocence,8.013617,32255440.0,1993.75,139.0,7.0,172.0,34000000.0,"['Drama', 'Romance']"
Barcelona,1.632711,0.0,1994.5833333333333,100.0,6.6,20.0,3200000.0,"['Comedy', 'Drama', 'Romance']"
A Bronx Tale,6.115628,17287898.0,1993.75,121.0,7.4,447.0,22000000.0,"['Drama', 'Crime']"
Carlito's Way,8.698509,36516012.0,1993.9166666666667,144.0,7.7,805.0,30000000.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Dazed and Confused,6.8652,7993039.0,1993.75,102.0,7.4,588.0,6900000.0,"['Comedy', 'Drama']"
The Firm,9.678367,270248367.0,1993.5,154.0,6.6,513.0,42000000.0,"['Drama', 'Mystery', 'Thriller']"
The Fugitive,10.08937,368875760.0,1993.6666666666667,130.0,7.2,1240.0,44000000.0,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
The House of the Spirits,10.687795,0.0,1993.8333333333333,140.0,6.7,135.0,25000000.0,"['Romance', 'Drama']"
The Hudsucker Proxy,7.550545,0.0,1994.25,111.0,7.1,280.0,30000000.0,"['Comedy', 'Drama']"
In the Line of Fire,12.637158,176997168.0,1993.5833333333333,128.0,6.8,392.0,40000000.0,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']"
In the Name of the Father,7.405895,65796862.0,1994.0,133.0,7.6,363.0,13000000.0,['Drama']
Jurassic Park,8.863776,920100000.0,1993.5,127.0,7.6,4956.0,63000000.0,"['Adventure', 'Science Fiction']"
Manhattan Murder Mystery,8.939404,11285588.0,1993.6666666666667,104.0,7.1,169.0,13500000.0,"['Comedy', 'Mystery']"
Menace II Society,5.260924,27900000.0,1993.4166666666667,97.0,7.2,179.0,3500000.0,"['Drama', 'Action', 'Crime']"
Much Ado About Nothing,8.62724,0.0,1993.4166666666667,111.0,7.2,194.0,8000000.0,"['Drama', 'Comedy', 'Romance']"
Mrs. Doubtfire,11.16553,441286195.0,1993.9166666666667,125.0,7.0,1638.0,25000000.0,"['Comedy', 'Drama', 'Family']"
Orlando,3.800785,0.0,1992.75,93.0,6.7,53.0,4000000.0,"['Romance', 'Drama', 'Fantasy']"
A Perfect World,8.040589,135130999.0,1993.9166666666667,138.0,7.2,376.0,30000000.0,"['Crime', 'Drama', 'Thriller']"
Philadelphia,13.373006,206678440.0,1994.0,125.0,7.6,1019.0,26000000.0,['Drama']
The Piano,7.436758,116700000.0,1993.4166666666667,121.0,7.1,290.0,7000000.0,"['Drama', 'Romance']"
Poetic Justice,6.972599,27515786.0,1993.5833333333333,109.0,6.9,47.0,14000000.0,"['Drama', 'Romance']"
The Ref,5.868677,11439193.0,1994.25,97.0,6.7,99.0,11000000.0,['Comedy']
The Remains of the Day,12.222576,23237911.0,1993.9166666666667,134.0,7.5,213.0,11500000.0,"['Drama', 'Romance']"
Rudy,5.914833,22750363.0,1993.75,114.0,7.2,187.0,12000000.0,['Drama']
Schindler's List,41.725123,321365567.0,1993.9166666666667,195.0,8.3,4436.0,22000000.0,"['Drama', 'History', 'War']"
Shadowlands,2.96586,0.0,1994.0,131.0,6.8,61.0,22000000.0,"['Drama', 'Romance']"
Blade Runner,96.272374,33139618.0,1982.5,117.0,7.9,3833.0,28000000.0,"['Science Fiction', 'Drama', 'Thriller']"
The Nightmare Before Christmas,17.730913,75634409.0,1993.8333333333333,76.0,7.6,2135.0,18000000.0,"['Fantasy', 'Animation', 'Family']"
Tombstone,11.338194,56505065.0,1994.0,130.0,7.4,632.0,25000000.0,"['Action', 'Adventure', 'Drama', 'History']"
True Romance,17.189328,12281551.0,1993.75,120.0,7.5,762.0,12500000.0,"['Action', 'Thriller', 'Crime', 'Romance']"
Home Alone,0.702543,476684675.0,1990.9166666666667,103.0,7.1,2487.0,18000000.0,"['Comedy', 'Family']"
Ghost,11.945397,505000000.0,1990.5833333333333,127.0,6.9,1381.0,22000000.0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
Aladdin,16.357419,504050219.0,1992.9166666666667,90.0,7.4,3495.0,28000000.0,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']"
Terminator 2: Judgment Day,22.661695,520000000.0,1991.5833333333333,137.0,7.7,4274.0,100000000.0,"['Action', 'Thriller', 'Science Fiction']"
Dances with Wolves,11.654349,424208848.0,1990.9166666666667,181.0,7.6,1084.0,22000000.0,"['Adventure', 'Drama']"
Batman,19.10673,411348924.0,1989.5,126.0,7.0,2145.0,35000000.0,"['Fantasy', 'Action']"
The Silence of the Lambs,4.307222,272742922.0,1991.1666666666667,119.0,8.1,4549.0,19000000.0,"['Crime', 'Drama', 'Thriller']"
Snow White and the Seven Dwarfs,16.263878,184925486.0,1938.0,83.0,6.9,1973.0,1488423.0,"['Fantasy', 'Animation', 'Family']"
Beauty and the Beast,23.433511,377350553.0,1991.9166666666667,84.0,7.5,3029.0,25000000.0,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']"
Pinocchio,14.202284,84300000.0,1940.1666666666667,88.0,6.9,1412.0,2600000.0,"['Animation', 'Family']"
Pretty Woman,13.348451,463000000.0,1990.25,119.0,7.0,1807.0,14000000.0,"['Romance', 'Comedy']"
The Wild Bunch,11.722424,638641.0,1969.5,145.0,7.7,266.0,6244087.0,['Adventure']
Fargo,12.61469,60611975.0,1996.3333333333333,98.0,7.7,2080.0,7000000.0,"['Crime', 'Drama', 'Thriller']"
The Aristocats,9.834047,55675257.0,1971.0,78.0,7.1,1287.0,4000000.0,"['Animation', 'Comedy', 'Family', 'Adventure']"
Primal Fear,10.326213,102616183.0,1996.3333333333333,129.0,7.4,644.0,30000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Mission: Impossible,15.793477,457696359.0,1996.4166666666667,110.0,6.7,2677.0,80000000.0,"['Adventure', 'Action', 'Thriller']"
Podzemlje,14.587894,0.0,1995.3333333333333,170.0,7.5,143.0,14000000.0,"['War', 'Drama', 'Comedy']"
"Alphaville, une étrange aventure de Lemmy Caution",4.658149,0.0,1965.4166666666667,100.0,6.8,100.0,220000.0,"['Drama', 'Science Fiction', 'Mystery']"
Faces,7.918418,0.0,1968.9166666666667,130.0,7.1,36.0,275000.0,['Drama']
Dead Man,6.505272,0.0,1996.0,121.0,7.2,397.0,9000000.0,"['Drama', 'Fantasy']"
Le Hussard sur le toit,1.690768,15000000.0,1995.75,135.0,6.7,25.0,35000000.0,"['War', 'Adventure', 'Drama', 'Romance']"
The Rock,13.249824,335062621.0,1996.5,136.0,6.9,1474.0,75000000.0,"['Action', 'Adventure', 'Thriller']"
Dellamorte Dellamore,6.247819,0.0,1994.25,105.0,7.0,105.0,4000000.0,"['Fantasy', 'Drama', 'Horror', 'Comedy']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398,9440272.0,1964.0833333333333,95.0,8.0,1472.0,1800000.0,"['Drama', 'Comedy', 'War']"
Trainspotting,19.348466,16491080.0,1996.1666666666667,93.0,7.8,2737.0,4000000.0,"['Drama', 'Crime']"
Independence Day,17.634197,816969268.0,1996.5,145.0,6.7,3334.0,75000000.0,"['Action', 'Adventure', 'Science Fiction']"
The Hunchback of Notre Dame,13.553999,100138851.0,1996.5,91.0,6.8,1182.0,100000000.0,"['Drama', 'Animation', 'Family']"
Kingpin,11.633347,25023434.0,1996.5833333333333,113.0,6.7,248.0,27000000.0,['Comedy']
The Frighteners,12.09096,29359216.0,1996.5833333333333,110.0,6.7,413.0,30000000.0,"['Horror', 'Comedy']"
Lone Star,9.069963,13269963.0,1996.5,135.0,6.9,79.0,5000000.0,"['Drama', 'Mystery', 'Romance']"
A Time to Kill,13.309013,152266007.0,1996.5833333333333,149.0,7.0,522.0,40000000.0,"['Crime', 'Drama', 'Thriller']"
Matilda,10.034915,33459416.0,1996.6666666666667,98.0,6.9,892.0,36000000.0,"['Comedy', 'Family', 'Fantasy']"
Emma,6.593011,22231658.0,1996.6666666666667,121.0,6.7,152.0,6000000.0,"['Drama', 'Comedy', 'Romance']"
The Spitfire Grill,1.19589,12643776.0,1996.6666666666667,117.0,6.8,17.0,6000000.0,"['Comedy', 'Drama']"
Basquiat,4.797674,3011195.0,1996.6666666666667,108.0,6.6,97.0,2962051.0,"['Drama', 'History']"
The Godfather,41.109264,245066411.0,1972.25,175.0,8.5,6024.0,6000000.0,"['Drama', 'Crime']"
警察故事 III：超級警察,6.751864,20483423.0,1992.5833333333333,95.0,6.7,109.0,900000.0,"['Action', 'Crime', 'Thriller']"
Bound,12.449574,7011317.0,1996.75,108.0,6.9,203.0,4500000.0,"['Crime', 'Drama', 'Romance', 'Thriller']"
The Trigger Effect,9.028947,0.0,1996.6666666666667,94.0,6.6,18.0,8000000.0,"['Drama', 'Thriller']"
Singin' in the Rain,11.064858,7200000.0,1952.3333333333333,103.0,7.9,747.0,2540800.0,"['Comedy', 'Music', 'Romance']"
An American in Paris,5.565203,4500000.0,1951.6666666666667,113.0,6.9,133.0,2723903.0,"['Drama', 'Comedy', 'Music', 'Romance']"
Breakfast at Tiffany's,10.879289,9500000.0,1961.8333333333333,110.0,7.6,1082.0,2500000.0,"['Comedy', 'Drama', 'Romance']"
Vertigo,18.20822,28000000.0,1958.4166666666667,128.0,8.0,1162.0,2479000.0,"['Mystery', 'Romance', 'Thriller']"
Rear Window,17.911314,36764313.0,1954.6666666666667,112.0,8.2,1531.0,1000000.0,"['Drama', 'Mystery', 'Thriller']"
It Happened One Night,6.465257,4500000.0,1934.1666666666667,105.0,7.7,283.0,325000.0,"['Comedy', 'Romance']"
Gaslight,14.545058,0.0,1944.4166666666667,114.0,7.2,73.0,2068000.0,"['Drama', 'Mystery', 'Thriller', 'Crime']"
The Gay Divorcee,2.863935,0.0,1934.8333333333333,107.0,7.2,17.0,520000.0,"['Comedy', 'Music', 'Romance']"
North by Northwest,12.410427,13275000.0,1959.5833333333333,136.0,7.8,1062.0,4000000.0,"['Mystery', 'Thriller']"
The Apartment,11.994281,25000000.0,1960.5,125.0,8.1,498.0,3000000.0,"['Comedy', 'Drama', 'Romance']"
Some Like It Hot,11.845107,25000000.0,1959.25,122.0,8.0,835.0,2883848.0,"['Comedy', 'Romance']"
Charade,7.098731,13474588.0,1964.0,113.0,7.7,351.0,4000000.0,"['Comedy', 'Mystery', 'Romance', 'Thriller']"
Casablanca,13.916101,10462500.0,1942.9166666666667,102.0,7.9,1462.0,878000.0,"['Drama', 'Romance']"
The Maltese Falcon,5.782544,1000000.0,1941.9166666666667,100.0,7.8,435.0,375000.0,"['Mystery', 'Crime', 'Thriller']"
My Fair Lady,12.494394,72070731.0,1964.8333333333333,170.0,7.4,361.0,17000000.0,"['Drama', 'Family', 'Music', 'Romance']"
Sabrina,7.359741,10000000.0,1954.75,113.0,7.4,284.0,2238813.0,"['Comedy', 'Drama', 'Romance']"
Roman Holiday,11.954806,12000000.0,1953.75,119.0,7.8,502.0,1500000.0,"['Comedy', 'Romance']"
The Wizard of Oz,22.064932,33754967.0,1939.6666666666667,102.0,7.4,1689.0,2777000.0,"['Adventure', 'Family', 'Fantasy']"
Sunset Boulevard,11.709777,5000000.0,1950.6666666666667,110.0,8.2,533.0,1752000.0,['Drama']
Citizen Kane,15.811921,23217674.0,1941.3333333333333,119.0,8.0,1244.0,839727.0,"['Mystery', 'Drama']"
2001: A Space Odyssey,22.494622,68700000.0,1968.3333333333333,149.0,7.9,3075.0,10500000.0,"['Science Fiction', 'Mystery', 'Adventure']"
All About Eve,12.06308,63463.0,1950.9166666666667,138.0,8.0,367.0,1400000.0,['Drama']
Rebecca,8.590813,6000000.0,1940.3333333333333,130.0,7.7,346.0,1288000.0,"['Drama', 'Mystery']"
Notorious,10.135111,24464742.0,1946.6666666666667,102.0,7.8,345.0,2000000.0,"['Thriller', 'Drama', 'Romance']"
Spellbound,5.47596,7000000.0,1946.0,111.0,7.3,166.0,1500000.0,"['Drama', 'Mystery', 'Thriller']"
To Catch a Thief,5.490505,8750000.0,1955.6666666666667,106.0,7.1,299.0,2500000.0,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Ninotchka,5.120036,2279000.0,1939.8333333333333,110.0,7.3,77.0,1365000.0,"['Comedy', 'Romance']"
The Adventures of Robin Hood,10.685036,3981000.0,1938.4166666666667,102.0,7.6,170.0,2033000.0,"['Action', 'Adventure', 'Romance']"
Laura,9.884516,2000000.0,1944.8333333333333,88.0,7.6,173.0,1020000.0,"['Drama', 'Mystery']"
Lost Horizon,3.166544,0.0,1937.75,97.0,6.8,42.0,4000000.0,"['Adventure', 'Fantasy', 'Drama', 'Mystery']"
Top Hat,7.122093,3202000.0,1935.75,101.0,7.4,62.0,609000.0,"['Comedy', 'Music', 'Romance']"
East of Eden,6.42883,5.0,1955.25,115.0,7.5,163.0,1.0,['Drama']
The Thin Man,10.573867,1423000.0,1934.4166666666667,93.0,7.4,97.0,226408.0,"['Comedy', 'Crime', 'Mystery']"
It's a Wonderful Life,15.031588,9644124.0,1947.0,130.0,8.0,1103.0,3180000.0,"['Drama', 'Family', 'Fantasy']"
Mr. Smith Goes to Washington,8.168694,9600000.0,1939.8333333333333,129.0,7.9,245.0,1500000.0,"['Comedy', 'Drama']"
Bringing Up Baby,6.60577,0.0,1938.1666666666667,102.0,7.6,201.0,1073000.0,"['Comedy', 'Romance']"
Night of the Living Dead,14.384198,30000000.0,1968.8333333333333,96.0,7.5,591.0,114000.0,['Horror']
The African Queen,6.636872,10750000.0,1952.0,105.0,7.4,232.0,1300000.0,"['Adventure', 'War', 'Romance']"
Cat on a Hot Tin Roof,11.794846,17570324.0,1958.1666666666667,108.0,7.6,168.0,3000000.0,"['Drama', 'Romance']"
Michael Collins,6.728199,16900000.0,1996.8333333333333,132.0,6.8,98.0,28000000.0,"['Drama', 'Thriller']"
Set It Off,6.85606,41590886.0,1996.9166666666667,118.0,6.9,66.0,9000000.0,"['Drama', 'Action', 'Crime']"
"20,000 Leagues Under the Sea",8.722406,28200000.0,1955.0,127.0,6.9,160.0,5000000.0,"['Adventure', 'Drama', 'Science Fiction']"
Cool Runnings,8.30721,154864401.0,1993.75,98.0,6.8,510.0,14000000.0,['Comedy']
Cinderella,14.436858,263591415.0,1950.25,74.0,6.8,1760.0,2900000.0,"['Family', 'Fantasy', 'Animation', 'Romance']"
The Sword in the Stone,10.636458,22182353.0,1964.0,79.0,6.9,935.0,3000000.0,"['Animation', 'Family']"
Robin Hood: Prince of Thieves,10.639244,390493908.0,1991.5,143.0,6.6,937.0,48000000.0,['Adventure']
Mary Poppins,15.11549,102272727.0,1964.6666666666667,139.0,7.4,1217.0,6000000.0,"['Comedy', 'Family', 'Fantasy']"
Dumbo,14.655879,1600000.0,1941.8333333333333,64.0,6.8,1206.0,812000.0,"['Animation', 'Family']"
Bedknobs and Broomsticks,10.362012,17900000.0,1971.8333333333333,117.0,6.8,260.0,20000000.0,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Music']"
Alice in Wonderland,16.488937,572000000.0,1951.5833333333333,75.0,7.0,1557.0,3000000.0,"['Animation', 'Adventure', 'Family', 'Fantasy']"
The Fox and the Hound,10.197106,29800000.0,1981.5833333333333,82.0,7.0,884.0,12000000.0,"['Adventure', 'Animation', 'Drama', 'Family']"
The Sound of Music,9.06773,286214286.0,1965.25,174.0,7.4,966.0,8200000.0,"['Drama', 'Family', 'Music', 'Romance']"
Die Hard,16.640522,140767956.0,1988.5833333333333,131.0,7.5,4005.0,28000000.0,"['Action', 'Thriller']"
Secrets & Lies,11.223572,13417292.0,1996.4166666666667,142.0,7.1,127.0,4500000.0,['Drama']
Get on the Bus,5.230661,5731103.0,1996.8333333333333,120.0,7.0,11.0,2400000.0,['Drama']
Jude,3.379677,405000.0,1996.1666666666667,123.0,6.6,38.0,7000000.0,"['Drama', 'Romance']"
Romeo + Juliet,11.774061,147298761.0,1996.8333333333333,120.0,6.7,1406.0,14500000.0,"['Drama', 'Romance']"
Swingers,6.578025,4505922.0,1996.8333333333333,94.0,6.8,255.0,200000.0,"['Comedy', 'Romance']"
Sleepers,9.198283,165615285.0,1996.8333333333333,147.0,7.3,729.0,44000000.0,"['Crime', 'Drama', 'Thriller']"
For the Moment,0.347124,0.0,1993.8333333333333,115.0,7.4,3.0,120.0,"['War', 'Drama', 'Romance', 'Action']"
Willy Wonka & the Chocolate Factory,12.416635,4000000.0,1971.5,100.0,7.4,826.0,3000000.0,"['Family', 'Fantasy']"
Sleeper,6.048904,18344729.0,1974.0,89.0,7.0,206.0,2000000.0,"['Comedy', 'Romance', 'Science Fiction']"
Bananas,4.331819,11833696.0,1971.3333333333333,82.0,6.7,167.0,2000000.0,['Comedy']
A Fish Called Wanda,11.400353,62493712.0,1988.5833333333333,108.0,7.1,576.0,7500000.0,"['Comedy', 'Crime']"
Life of Brian,10.714173,20045115.0,1979.6666666666667,94.0,7.7,1230.0,4000000.0,['Comedy']
The Great Race,4.473327,25333333.0,1965.5833333333333,160.0,7.2,64.0,12000000.0,"['Adventure', 'Comedy']"
Bonnie and Clyde,12.109198,50700000.0,1967.5833333333333,111.0,7.6,384.0,2500000.0,"['Crime', 'Drama']"
Dial M for Murder,7.853231,3000000.0,1954.4166666666667,104.0,7.9,539.0,1400000.0,"['Crime', 'Mystery', 'Thriller']"
Dirty Dancing,14.044122,213954274.0,1987.6666666666667,100.0,7.1,1371.0,6000000.0,"['Drama', 'Music', 'Romance']"
Reservoir Dogs,12.22034,14661007.0,1992.75,99.0,8.1,3821.0,1200000.0,"['Crime', 'Thriller']"
Platoon,18.206972,138530565.0,1987.0,120.0,7.5,1236.0,6000000.0,"['Drama', 'War', 'Action']"
The Doors,7.829619,34416893.0,1991.25,140.0,6.7,285.0,38000000.0,"['Drama', 'Music']"
The Crying Game,7.404329,62548947.0,1992.75,112.0,6.9,180.0,3705538.0,"['Romance', 'Crime', 'Drama', 'Thriller']"
Glengarry Glen Ross,6.792215,10725228.0,1992.75,100.0,7.5,330.0,12500000.0,"['Crime', 'Drama', 'Mystery']"
Sophie's Choice,15.417202,30036000.0,1983.0,151.0,7.4,149.0,12000000.0,"['Drama', 'Romance']"
E.T. the Extra-Terrestrial,19.358546,792965326.0,1982.3333333333333,115.0,7.3,3359.0,10500000.0,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']"
Top Gun,20.301019,356830601.0,1986.4166666666667,110.0,6.7,1736.0,15000000.0,"['Action', 'Romance', 'War']"
Rebel Without a Cause,10.968169,0.0,1955.8333333333333,111.0,7.6,351.0,1500000.0,['Drama']
A Streetcar Named Desire,7.301719,8000000.0,1951.75,125.0,7.6,291.0,1800000.0,['Drama']
The Funeral,2.772039,1227324.0,1996.0833333333333,99.0,7.3,31.0,12500000.0,"['Crime', 'Drama']"
